Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,Apakah aplikasi Anda mengumpulkan atau membagikan salah satu jenis data pengguna yang diperlukan?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,false,MAYBE_REQUIRED,Apakah semua data pengguna yang dikumpulkan oleh aplikasi Anda dienkripsi saat dalam pengiriman?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,Manakah dari metode pembuatan akun berikut yang didukung aplikasi Anda? Pilih semua yang sesuai/Nama pengguna dan sandi
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,Manakah dari metode pembuatan akun berikut yang didukung aplikasi Anda? Pilih semua yang sesuai/Nama pengguna dan autentikasi lainnya
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Manakah dari metode pembuatan akun berikut yang didukung aplikasi Anda? Pilih semua yang sesuai/Nama pengguna, sandi, dan autentikasi lainnya"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,,MULTIPLE_CHOICE,Manakah dari metode pembuatan akun berikut yang didukung aplikasi Anda? Pilih semua yang sesuai/OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,Manakah dari metode pembuatan akun berikut yang didukung aplikasi Anda? Pilih semua yang sesuai/Lainnya
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,true,MULTIPLE_CHOICE,Manakah dari metode pembuatan akun berikut yang didukung aplikasi Anda? Pilih semua yang sesuai/Aplikasi saya tidak mengizinkan pengguna membuat akun
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,Jelaskan metode pembuatan akun yang didukung aplikasi Anda
PSL_ACCOUNT_DELETION_URL,,,MAYBE_REQUIRED,Tambahkan link yang dapat digunakan pengguna untuk meminta penghapusan akun dan data terkait mereka 
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,,SINGLE_CHOICE,Apakah Anda menyediakan cara bagi pengguna untuk meminta data mereka dihapus?/Ya
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,,SINGLE_CHOICE,Apakah Anda menyediakan cara bagi pengguna untuk meminta data mereka dihapus?/Tidak
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,true,SINGLE_CHOICE,"Apakah Anda menyediakan cara bagi pengguna untuk meminta data mereka dihapus?/Tidak, tetapi data pengguna otomatis dihapus dalam waktu 90 hari"
PSL_DATA_DELETION_URL,,,MAYBE_REQUIRED,URL penghapusan data
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,"Hanya jawab pertanyaan ini jika Anda menyatakan bahwa kelompok usia target aplikasi Anda mencakup anak-anak, atau jika Anda memilih untuk mengikuti program Didesain untuk Keluarga. Jika salah satu dari kedua hal di atas benar, Anda harus mematuhi Kebijakan Keluarga Google Play (https://support.google.com/googleplay/android-developer/answer/9893335). Apakah Anda ingin memberi tahu pengguna terkait komitmen ini di bagian Keamanan Data pada listingan Play Store Anda?"
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,"Apakah aplikasi Anda telah berhasil menyelesaikan peninjauan keamanan independen, sesuai dengan framework Mobile Application Security Assessment (MASA)? Hanya jawab ""ya"" jika ulasan memiliki reputasi baik."
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,Ingin menampilkan badge ini di listingan Play Store Anda?
PSL_DATA_TYPES_PERSONAL,PSL_NAME,,MULTIPLE_CHOICE,Info pribadi/Nama
PSL_DATA_TYPES_PERSONAL,PSL_EMAIL,,MULTIPLE_CHOICE,Info pribadi/Alamat email
PSL_DATA_TYPES_PERSONAL,PSL_USER_ACCOUNT,,MULTIPLE_CHOICE,Info pribadi/ID pengguna
PSL_DATA_TYPES_PERSONAL,PSL_ADDRESS,,MULTIPLE_CHOICE,Info pribadi/Alamat
PSL_DATA_TYPES_PERSONAL,PSL_PHONE,,MULTIPLE_CHOICE,Info pribadi/Nomor telepon
PSL_DATA_TYPES_PERSONAL,PSL_RACE_ETHNICITY,,MULTIPLE_CHOICE,Info pribadi/Ras dan etnisitas
PSL_DATA_TYPES_PERSONAL,PSL_POLITICAL_RELIGIOUS,,MULTIPLE_CHOICE,Info pribadi/Keyakinan politik atau agama
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,,MULTIPLE_CHOICE,Info pribadi/Orientasi seksual
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,Info pribadi/Info lain
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,Info keuangan/Info pembayaran pengguna
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,,MULTIPLE_CHOICE,Info keuangan/Histori pembelian
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,Info keuangan/Skor kredit
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,,MULTIPLE_CHOICE,Info keuangan/Info keuangan lainnya
